Cash Balance,,,,,,,,,,,,,,
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
10/16/20,1:00:00,BAL,,Cash balance at the start of business day 16.10 CST,,,,0,,,,,,
10/17/20,1:00:00,BAL,,Cash balance at the start of business day 17.10 CST,,,,0,,,,,,
10/18/20,1:00:00,BAL,,Cash balance at the start of business day 18.10 CST,,,,0,,,,,,
10/19/20,1:00:00,BAL,,Cash balance at the start of business day 19.10 CST,,,,0,,,,,,
10/20/20,1:00:00,BAL,,Cash balance at the start of business day 20.10 CST,,,,0,,,,,,
10/21/20,1:00:00,BAL,,Cash balance at the start of business day 21.10 CST,,,,0,,,,,,
10/22/20,1:00:00,BAL,,Cash balance at the start of business day 22.10 CST,,,,0,,,,,,
10/23/20,1:00:00,BAL,,Cash balance at the start of business day 23.10 CST,,,,0,,,,,,
10/24/20,1:00:00,BAL,,Cash balance at the start of business day 24.10 CST,,,,0,,,,,,
10/25/20,1:00:00,BAL,,Cash balance at the start of business day 25.10 CST,,,,0,,,,,,
10/26/20,1:00:00,BAL,,Cash balance at the start of business day 26.10 CST,,,,0,,,,,,
10/27/20,1:00:00,BAL,,Cash balance at the start of business day 27.10 CST,,,,0,,,,,,
10/28/20,1:00:00,BAL,,Cash balance at the start of business day 28.10 CST,,,,0,,,,,,
10/29/20,1:00:00,BAL,,Cash balance at the start of business day 29.10 CST,,,,0,,,,,,
10/30/20,1:00:00,BAL,,Cash balance at the start of business day 30.10 CST,,,,0,,,,,,
10/31/20,1:00:00,BAL,,Cash balance at the start of business day 31.10 CST,,,,0,,,,,,
11/1/20,1:00:00,BAL,,Cash balance at the start of business day 01.11 CST,,,,0,,,,,,
11/2/20,1:00:00,BAL,,Cash balance at the start of business day 02.11 CST,,,,0,,,,,,
11/3/20,1:00:00,BAL,,Cash balance at the start of business day 03.11 CST,,,,0,,,,,,
11/4/20,1:00:00,BAL,,Cash balance at the start of business day 04.11 CST,,,,0,,,,,,
11/5/20,1:00:00,BAL,,Cash balance at the start of business day 05.11 CST,,,,0,,,,,,
11/6/20,1:00:00,BAL,,Cash balance at the start of business day 06.11 CST,,,,0,,,,,,
11/7/20,1:00:00,BAL,,Cash balance at the start of business day 07.11 CST,,,,0,,,,,,
11/8/20,1:00:00,BAL,,Cash balance at the start of business day 08.11 CST,,,,0,,,,,,
11/9/20,1:00:00,BAL,,Cash balance at the start of business day 09.11 CST,,,,0,,,,,,
11/10/20,1:00:00,BAL,,Cash balance at the start of business day 10.11 CST,,,,0,,,,,,
11/11/20,0:59:59,ADJ,3545644114,Account Opt In,,,"23,309.00","23,309.00",,,,,,
11/11/20,1:00:00,BAL,,Cash balance at the start of business day 11.11 CST,,,,"23,309.00",,,,,,
11/12/20,1:00:00,BAL,,Cash balance at the start of business day 12.11 CST,,,,"23,309.00",,,,,,
11/12/20,9:33:59,TRD,3551442842,BOT +500 IMAC @2.16,,,"-1,080.00","22,229.00",,,,,,
11/12/20,9:38:11,TRD,3551552718,SOLD -139 IMAC @2.39,-0.03,,332.21,"22,561.18",,,,,,
11/12/20,9:38:11,TRD,3551552718,SOLD -361 IMAC @2.39,-0.06,,862.79,"23,423.91",,,,,,
11/12/20,9:42:36,TRD,3551676955,BOT +500 IMAC @2.2288,,,"-1,114.40","22,309.51",,,,,,
11/12/20,9:46:13,TRD,3551729657,SOLD -30 IMAC @2.22,-0.01,,66.6,"22,376.10",,,,,,
11/12/20,9:46:13,TRD,3551729657,SOLD -470 IMAC @2.22,-0.08,,"1,043.40","23,419.42",,,,,,
11/12/20,9:46:45,TRD,3551769400,BOT +500 IMAC @2.25,,,"-1,125.00","22,294.42",,,,,,
11/12/20,9:50:57,TRD,3551864675,SOLD -500 IMAC @1.9701,-0.08,,985.05,"23,279.39",,,,,,
11/12/20,9:53:36,TRD,3551920670,SOLD -1 NIO @44.90,-0.01,,44.9,"23,324.28",,,,,,
11/12/20,9:53:36,TRD,3551920670,SOLD -49 NIO @44.90,-0.06,,"2,200.10","25,524.32",,,,,,
11/12/20,10:47:13,TRD,3552792051,SOLD -20 AMD @82.33,-0.04,,"1,646.60","27,170.88",,,,,,
11/12/20,10:50:47,TRD,3552835723,BOT +20 AMD @82.39,,,"-1,647.80","25,523.08",,,,,,
11/12/20,13:00:06,TRD,3554113055,BOT +1 FB @276.95,,,-276.95,"25,246.13",,,,,,
11/12/20,13:00:09,TRD,3554113055,BOT +5 FB @276.95,,,"-1,384.75","23,861.38",,,,,,
11/12/20,13:00:10,TRD,3554113055,BOT +24 FB @276.95,,,"-6,646.80","17,214.58",,,,,,
11/12/20,14:01:36,TRD,3554665567,SOLD -100 PTON @108.05,-0.25,,"10,805.00","28,019.33",,,,,,
11/12/20,14:06:42,TRD,3554711819,SOLD -30 FB @277.41,-0.18,,"8,322.30","36,341.45",,,,,,
11/12/20,14:14:17,TRD,3554767851,BOT +25 PTON @108.01,,,"-2,700.25","33,641.20",,,,,,
11/12/20,14:14:18,TRD,3554767851,BOT +50 PTON @108.01,,,"-5,400.50","28,240.70",,,,,,
11/12/20,14:14:18,TRD,3554767851,BOT +25 PTON @108.01,,,"-2,700.25","25,540.45",,,,,,
11/12/20,14:17:30,TRD,3554801718,SOLD -50 NIO @47.50,-0.06,,"2,375.00","27,915.39",,,,,,
11/12/20,14:18:34,TRD,3554806772,BOT +50 NIO @47.74,,,"-2,387.00","25,528.39",,,,,,
11/13/20,0:59:59,ADJ,3561110595,Courtesy Adjustment,,,0.03,"25,528.42",,,,,,
11/13/20,1:00:00,BAL,,Cash balance at the start of business day 13.11 CST,,,,"25,528.42",,,,,,
11/13/20,1:00:00,JRN,3562139102,MARK TO THE MARKET,,,-0.91,"25,527.51",,,,,,
11/13/20,1:00:00,JRN,3562139188,MARK TO THE MARKET,,,0.91,"25,528.42",,,,,,
11/14/20,1:00:00,BAL,,Cash balance at the start of business day 14.11 CST,,,,"25,528.42",,,,,,
11/15/20,1:00:00,BAL,,Cash balance at the start of business day 15.11 CST,,,,"25,528.42",,,,,,
11/16/20,1:00:00,BAL,,Cash balance at the start of business day 16.11 CST,,,,"25,528.42",,,,,,
11/16/20,1:00:00,JRN,3568815013,MARK TO THE MARKET,,,-9.54,"25,518.88",,,,,,
11/16/20,1:00:00,JRN,3568815089,MARK TO THE MARKET,,,9.54,"25,528.42",,,,,,
11/16/20,9:39:42,TRD,3564139348,BOT +100 NIO @43.8882,,,"-4,388.82","21,139.60",,,,,,
11/16/20,9:47:19,TRD,3564339201,BOT +100 NIO @43.955,,,"-4,395.50","16,744.10",,,,,,
11/16/20,10:13:51,TRD,3564872956,SOLD -200 NIO @45.2138,-0.22,,"9,042.76","25,786.64",,,,,,
11/17/20,1:00:00,BAL,,Cash balance at the start of business day 17.11 CST,,,,"25,786.64",,,,,,
11/18/20,1:00:00,BAL,,Cash balance at the start of business day 18.11 CST,,,,"25,786.64",,,,,,
11/18/20,9:32:12,TRD,3575742439,BOT +110 PFE @37.08991,,,"-4,079.89","21,706.75",,,,,,
11/18/20,9:38:40,TRD,3575920766,SOLD -110 PFE @37.03327,-0.1,,"4,073.66","25,780.31",,,,,,
11/19/20,1:00:00,BAL,,Cash balance at the start of business day 19.11 CST,,,,"25,780.31",,,,,,
11/19/20,9:31:42,TRD,3581976526,BOT +20 TSLA @496.635,,,"-9,932.70","15,847.61",,,,,,
11/19/20,9:45:26,TRD,3582354294,SOLD -20 TSLA @497.75,-0.22,,"9,955.00","25,802.39",,,,,,
11/19/20,9:47:04,TRD,3582397174,BOT +100 NIO @46.59,,,"-4,659.00","21,143.39",,,,,,
11/19/20,10:29:41,TRD,3583267250,SOLD -100 NIO @47.71,-0.12,,"4,771.00","25,914.27",,,,,,
11/19/20,12:04:54,TRD,3584434526,BOT +200 PLTR @18.58,,,"-3,716.00","22,198.27",,,,,,
11/19/20,12:06:18,TRD,3584446498,SOLD -200 PLTR @18.6601,-0.1,,"3,732.02","25,930.19",,,,,,
11/20/20,1:00:00,BAL,,Cash balance at the start of business day 20.11 CST,,,,"25,930.19",,,,,,
11/20/20,9:33:37,TRD,3587900722,BOT +100 BLNK @19.39,,,"-1,939.00","23,991.19",,,,,,
